time,temperature
0.0,23.19962154028019
4.529506198,24.036076379802694
6.520260886,23.266537927442073
15.029199428,23.868785411898216
17.019423238,23.166163346699364
20.024791894,23.668036250412797
21.03025416,23.132705153118422
23.520186946,23.835327218317275
28.019666702,23.266537927442073
44.018844843,24.069534573383635
45.51882966,23.467287088927492
46.521387221,24.036076379802694
47.532611516,23.467287088927492
49.023532989,23.969159992640925
50.037375243,23.06578876595654
51.020636012,23.60111986325103
62.521416248,23.06578876595654
66.523320825,23.668036250412797
79.043512468,23.06578876595654
81.531056188,23.567661669670088
87.022411635,23.06578876595654
89.531202726,23.60111986325103
95.022966422,23.06578876595654
116.022135329,23.60111986325103
118.022159714,24.102992766964462
119.023190053,23.50074528250832
122.523190565,24.036076379802694
123.522780429,23.534203476089147
138.520793954,24.036076379802694
140.021466418,23.266537927442073
141.023569795,22.697748636566757
141.52148532,23.233079733861132
143.519780234,23.768410831155506
151.532399874,23.09924695953748
169.531274444,23.60111986325103
173.023274143,22.798123217309467
176.525360107,23.40037070176561
185.525743243,22.798123217309467
187.022100619,23.433828895346437
196.02727376,22.798123217309467
200.040185792,23.40037070176561
201.029248438,22.898497798052176
202.532005743,23.467287088927492
208.518613775,22.798123217309467
210.022741218,23.2999961210229
211.022590136,22.798123217309467
212.523231845,23.366912508184782
218.522338906,22.764665023728526
219.020370052,23.266537927442073
223.523984314,22.697748636566757
224.022413311,23.233079733861132
226.023895399,22.731206830147585
226.537255244,23.233079733861132
231.024231806,23.969159992640925
233.021450295,23.2999961210229
238.521147175,23.835327218317275
241.022963609,22.998872378794886
243.524085303,23.567661669670088
245.537167266,24.069534573383635
246.527464837,23.2999961210229
248.025381834,22.798123217309467
248.519702947,23.2999961210229
250.521000893,22.798123217309467
254.517707802,23.366912508184782
255.5214507,22.798123217309467
257.020994056,23.366912508184782
263.023213404,22.731206830147585
263.520827172,23.266537927442073
270.5261724,22.731206830147585
272.523816505,23.233079733861132
278.019042467,23.801869024736447
282.521787101,23.2999961210229
285.027201166,22.798123217309467
285.521415756,23.333454314603728
287.025132152,24.002618186221753
288.02522586,23.333454314603728
291.526232774,24.002618186221753
292.521636815,23.266537927442073
296.024266615,23.935701799059984
296.518652869,23.19962154028019
307.042223699,23.701494443993738
319.023478939,23.09924695953748
323.02267115,23.935701799059984
324.524472571,23.366912508184782
325.027284711,22.798123217309467
326.027399022,23.701494443993738
330.022859708,23.19962154028019
333.017524421,23.701494443993738
342.022535996,23.132705153118422
345.022058418,23.768410831155506
347.023100167,23.132705153118422
349.521427767,23.734952637574565
353.022355206,22.697748636566757
353.518979547,23.2999961210229
355.526352069,23.935701799059984
358.02610249,23.09924695953748
361.025268607,23.701494443993738
365.022605236,23.09924695953748
368.022151876,23.634578056831856
381.520266456,23.032330572375713
384.024183087,23.734952637574565
386.526483182,23.19962154028019
390.028407789,23.701494443993738
392.524575174,23.166163346699364
395.030556909,23.768410831155506
398.530083276,23.233079733861132
405.022878529,23.902243605479043
412.521438632,23.233079733861132
415.024375331,24.069534573383635
416.521306525,23.433828895346437
421.529135505,24.069534573383635
422.521709125,23.366912508184782
434.022120206,23.969159992640925
436.530210779,23.266537927442073
450.53451095,23.868785411898216
451.532540862,23.2999961210229
455.522072552,22.664290442985816
456.028071182,23.19962154028019
466.532052471,23.801869024736447
471.024358474,23.2999961210229
477.521025556,22.764665023728526
480.517616204,23.2999961210229
494.540341712,24.069534573383635
495.521542447,23.567661669670088
498.035624116,23.06578876595654
500.537105225,23.734952637574565
506.534450187,23.132705153118422
511.536054842,23.969159992640925
514.036943136,23.09924695953748
516.522102767,23.668036250412797
518.535299345,23.09924695953748
520.531365527,23.902243605479043
522.525208906,22.731206830147585
523.018684874,23.266537927442073
524.53816302,24.002618186221753
525.519732023,23.333454314603728
529.021287915,23.969159992640925
530.023394501,23.233079733861132
532.519792274,23.768410831155506
539.021317799,23.166163346699364
547.02845223,23.668036250412797
555.522090855,22.96541418521383
562.521924516,23.60111986325103
571.525200596,23.06578876595654
